"myHashNum";"numCalls";"avgduration";"avgweekend1weekday0";"avgday1night0";"avgout1in0";"avgmissed1";"avgSMS1";"avgVoiceCall1";"avglongDuration1"
"94";"1356";"115.8178";"0.1261";"0.1903";"0.4838";"0.0000";"0.4462";"0.5538";"0.0177"
"95";"107";"251.0093";"0.2523";"0.5888";"0.6542";"0.0000";"0.0935";"0.9065";"0.0280"
"96";"1232";"122.5633";"0.0406";"0.5170";"0.7752";"0.0000";"0.1006";"0.8994";"0.0106"
"97";"962";"66.5478";"0.0738";"0.8430";"0.6913";"0.0000";"0.0863";"0.9137";"0.0031"
"99";"1131";"124.0309";"0.0265";"0.5535";"0.5800";"0.0000";"0.2255";"0.7745";"0.0168"
"100";"3309";"123.1904";"0.0620";"0.2844";"0.6700";"0.0000";"0.1850";"0.8150";"0.0139"
"101";"3059";"56.0190";"0.0566";"0.2677";"0.6319";"0.0000";"0.4822";"0.5178";"0.0039"
"102";"2437";"72.9467";"0.1063";"0.2565";"0.5404";"0.0000";"0.4826";"0.5174";"0.0057"
"103";"674";"152.1083";"0.0579";"0.4941";"0.5504";"0.0000";"0.2166";"0.7834";"0.0208"
"106";"336";"118.0476";"0.0982";"0.5357";"0.6845";"0.0000";"0.0417";"0.9583";"0.0030"
