"myHashNum";"numCalls";"avgduration";"avgweekend1weekday0";"avgday1night0";"avgout1in0";"avgmissed1";"avgSMS1";"avgVoiceCall1";"avglongDuration1";"dn1";"dn2";"dn3";"dn4";"dn5"
2;0.00194520645552032;0.423444098864425;0;1.29802524604193;1.03982799134129;0;1.80681615097757;0.81750330802793;0;0;0;0;0;0
3;0.00129680430368022;0;0;1.9469405220368;1.55966400381175;0;0;1.22619365235928;0;1;0;0;0;0
4;1.71696889807261;0.84094918667164;0.68681083395782;0.72640350877193;0.983680087204071;0;1.76670082089285;0.826577141055389;0.83507132727121;0.0838368580060423;0.050226586102719;0.00226586102719033;0;0.000377643504531722
5;1.90824753286544;0.817301909456429;0.62835884808907;0.685323063756953;1.06634227940609;0;0.799596106418214;1.04533008863628;0.493451238842079;0.00203873598369011;0.0125722052327557;0.0135915732246007;0.000339789330615019;0
6;1.43361715771848;0.849006248505719;0.946597437818934;0.740616174582798;0.920513695049695;0;1.86590494799423;0.804137797217214;0.652873946775674;0.00995024875621891;0;0.054726368159204;0.0542740841248304;0
8;2.35175460472407;0.874751649716677;1.14630838953717;0.610365853658537;0.828181586024039;0;1.09124539811516;0.979360870139355;0.668057061816968;0.00248138957816377;0.112765370829887;0.00220567962503446;0.00110283981251723;0
9;0.327443086679255;1.24818617022267;1.19014737893873;1.38018613607189;1.01924042649098;0;0.730207427352769;1.06102536738648;0.903395344957037;0;0;0;0;0
10;0.927215077131355;0.706326344252078;0.873532455482996;1.07140136927685;1.08303068424688;0;0.310622758628906;1.15593275607909;0.159422707933595;0.020979020979021;0.0664335664335664;0;0.207692307692308;0
11;0.654237771206669;1.16254335580352;0.451379224208686;1.09982670089859;0.843934192462538;0;0.166424409946028;1.18854950723185;0.599733044131142;0.00792864222001982;0.0089197224975223;0;0.0138751238850347;0
12;1.64823826997756;1.4062088656585;0.894640117046712;0.938230637569534;1.04123168894472;0;0.955178535260267;1.01013833081357;1.79160757487278;0.13808025177026;0.0153422501966955;0.0003933910306845;0.0003933910306845;0
13;0.634785706651466;0.526919721823595;0.779359811583342;1.50946298673513;1.14385758039554;0;1.60569740149881;0.862995092530459;0.235338283140068;0.00510725229826353;0.0143003064351379;0;0;0
14;0.264548077950764;0.777840240572452;1.03427541662206;1.04979032948224;1.06275505219733;0;0.478131366685332;1.11804337222119;0.371986318511721;0.0245098039215686;0.017156862745098;0;0;0
15;0.409141757811108;0.580882275387312;0.436766227741498;0.651056910569106;1.00348782005248;0;0.326343631229671;1.15237679448725;0;0.0237717908082409;0.125198098256735;0.29635499207607;0;0
16;0.748256083223485;2.51847612240606;1.15442672090783;1.29393667094566;0.904137223009672;0;0.756228182002311;1.05513963785516;4.4714273796613;0;0;0.00866551126516464;0;0
17;1.10682247319106;0.174913963567786;1.32166434714342;1.24896234488661;0.428595668247469;0;3.53448583989611;0.426715391021029;0;0;0;0;0;0
18;0.138109658341943;0.747098198994895;1.44831031652571;0.804281129653402;0.944532520708396;0;0.814232780908582;1.04201936577491;1.07040961041128;0.00469483568075117;0;0;0;0
19;0.503160069827924;0.728412690279318;0.941726438996539;1.01610825845101;1.02703874651004;0;0.195697758926763;1.18192806150911;0.394760991073663;0;0;0.0180412371134021;0;0.00257731958762887
20;3.00728918023442;0.932320950663662;0.910876779788031;0.833679931536157;1.1474448076043;0;0.0628834904030596;1.21196980599191;0.539000583965963;0.0321259163432514;0.00582147477360931;0.000646830530401035;0;0
